time	voltage
412	-49.7234970000000
413	-49.9083180000000
414	-50.0926130000000
415	-50.2763730000000
416	-50.4595870000000
417	-50.6422500000000
418	-50.8243510000000
419	-51.0058830000000
420	-51.1868390000000
421	-51.3672110000000
422	-51.5469910000000
423	-51.7261740000000
424	-51.9047510000000
425	-52.0827160000000
426	-52.2600630000000
427	-52.4367850000000
428	-52.6128760000000
429	-52.7883310000000
430	-52.9631420000000
431	-53.1373040000000
432	-53.3108120000000
433	-53.4836600000000
434	-53.6558420000000
435	-53.8273530000000
436	-53.9981870000000
437	-54.1683400000000
438	-54.3378050000000
439	-54.5065780000000
440	-54.6746530000000
441	-54.8420260000000
442	-55.0086900000000
443	-55.1746420000000
444	-55.3398760000000
445	-55.5043860000000
446	-55.6681690000000
447	-55.8312180000000
448	-55.9935290000000
449	-56.1550970000000
450	-56.3159170000000
451	-56.4759830000000
452	-56.6352900000000
453	-56.7938340000000
454	-56.9516100000000
455	-57.1086120000000
456	-57.2648350000000
457	-57.4202740000000
458	-57.5749240000000
459	-57.7287790000000
460	-57.8818360000000
461	-58.0340880000000
462	-58.1855300000000
463	-58.3361570000000
464	-58.4859650000000
465	-58.6349470000000
466	-58.7830990000000
467	-58.9304160000000
468	-59.0768920000000
469	-59.2225220000000
470	-59.3673020000000
471	-59.5112250000000
472	-59.6542880000000
473	-59.7964850000000
474	-59.9378110000000
475	-60.0782610000000
476	-60.2178300000000
477	-60.3565130000000
478	-60.4943060000000
479	-60.6312050000000
480	-60.7672030000000
481	-60.9022960000000
482	-61.0364810000000
483	-61.1697530000000
484	-61.3021060000000
485	-61.4335380000000
486	-61.5640440000000
487	-61.6936190000000
488	-61.8222600000000
489	-61.9499630000000
490	-62.0767240000000
491	-62.2025400000000
492	-62.3274080000000
493	-62.4513220000000
494	-62.5742820000000
495	-62.6962830000000
496	-62.8173220000000
497	-62.9373970000000
498	-63.0565060000000
499	-63.1746450000000
500	-63.2918120000000
501	-63.4080060000000
502	-63.5232240000000
503	-63.6374640000000
504	-63.7507250000000
505	-63.8630050000000
506	-63.9743040000000
507	-64.0846190000000
508	-64.1939500000000
509	-64.3022970000000
510	-64.4096580000000
511	-64.5160340000000
512	-64.6214230000000
513	-64.7258270000000
514	-64.8292460000000
515	-64.9316790000000
516	-65.0331270000000
517	-65.1335920000000
518	-65.2330740000000
519	-65.3315750000000
520	-65.4290950000000
521	-65.5256360000000
522	-65.6212010000000
523	-65.7157910000000
524	-65.8094070000000
525	-65.9020540000000
526	-65.9937320000000
527	-66.0844450000000
528	-66.1741960000000
529	-66.2629870000000
530	-66.3508220000000
531	-66.4377040000000
532	-66.5236380000000
533	-66.6086250000000
534	-66.6926720000000
535	-66.7757810000000
536	-66.8579570000000
537	-66.9392040000000
538	-67.0195280000000
539	-67.0989310000000
540	-67.1774210000000
541	-67.2550000000000
542	-67.3316760000000
543	-67.4074520000000
544	-67.4823340000000
545	-67.5563290000000
546	-67.6294410000000
547	-67.7016760000000
548	-67.7730410000000
549	-67.8435410000000
550	-67.9131820000000
551	-67.9819710000000
552	-68.0499140000000
553	-68.1170170000000
554	-68.1832870000000
555	-68.2487310000000
556	-68.3133550000000
557	-68.3771650000000
558	-68.4401700000000
559	-68.5023750000000
560	-68.5637890000000
561	-68.6244160000000
562	-68.6842660000000
563	-68.7433450000000
564	-68.8016590000000
565	-68.8592180000000
566	-68.9160270000000
567	-68.9720940000000
568	-69.0274260000000
569	-69.0820310000000
570	-69.1359170000000
571	-69.1890890000000
572	-69.2415580000000
573	-69.2933280000000
574	-69.3444090000000
575	-69.3948070000000
576	-69.4445300000000
577	-69.4935860000000
578	-69.5419810000000
579	-69.5897240000000
580	-69.6368220000000
581	-69.6832830000000
582	-69.7291130000000
583	-69.7743210000000
584	-69.8189130000000
585	-69.8628980000000
586	-69.9062820000000
587	-69.9490730000000
588	-69.9912790000000
589	-70.0329060000000
590	-70.0739610000000
591	-70.1144530000000
592	-70.1543880000000
593	-70.1937730000000
594	-70.2326160000000
595	-70.2709230000000
596	-70.3087030000000
597	-70.3459600000000
598	-70.3827030000000
599	-70.4189390000000
600	-70.4546730000000
601	-70.4899140000000
602	-70.5246680000000
603	-70.5589410000000
604	-70.5927400000000
605	-70.6260720000000
606	-70.6589420000000
607	-70.6913590000000
608	-70.7233270000000
609	-70.7548540000000
610	-70.7859460000000
611	-70.8166080000000
612	-70.8468470000000
613	-70.8766700000000
614	-70.9060810000000
615	-70.9350880000000
616	-70.9636960000000
617	-70.9919100000000
618	-71.0197380000000
619	-71.0471830000000
620	-71.0742530000000
621	-71.1009520000000
622	-71.1272860000000
623	-71.1532610000000
624	-71.1788820000000
625	-71.2041540000000
626	-71.2290830000000
627	-71.2536730000000
628	-71.2779300000000
629	-71.3018600000000
630	-71.3254660000000
631	-71.3487540000000
632	-71.3717290000000
633	-71.3943960000000
634	-71.4167590000000
635	-71.4388220000000
636	-71.4605920000000
637	-71.4820720000000
638	-71.5032660000000
639	-71.5241800000000
640	-71.5448170000000
641	-71.5651820000000
642	-71.5852790000000
643	-71.6051120000000
644	-71.6246860000000
645	-71.6440040000000
646	-71.6630700000000
647	-71.6818890000000
648	-71.7004650000000
649	-71.7188010000000
650	-71.7369000000000
651	-71.7547670000000
652	-71.7724060000000
653	-71.7898190000000
654	-71.8070120000000
655	-71.8239860000000
656	-71.8407460000000
657	-71.8572940000000
658	-71.8736350000000
659	-71.8897710000000
660	-71.9057060000000
661	-71.9214430000000
662	-71.9369860000000
663	-71.9523360000000
664	-71.9674970000000
665	-71.9824730000000
666	-71.9972660000000
667	-72.0118800000000
668	-72.0263160000000
669	-72.0405780000000
670	-72.0546680000000
671	-72.0685890000000
672	-72.0823450000000
673	-72.0959370000000
674	-72.1093690000000
675	-72.1226410000000
676	-72.1357580000000
677	-72.1487220000000
678	-72.1615350000000
679	-72.1741990000000
680	-72.1867170000000
681	-72.1990910000000
682	-72.2113240000000
683	-72.2234170000000
684	-72.2353720000000
685	-72.2471930000000
686	-72.2588800000000
687	-72.2704370000000
688	-72.2818650000000
689	-72.2931660000000
690	-72.3043430000000
691	-72.3153960000000
692	-72.3263280000000
693	-72.3371410000000
694	-72.3478370000000
695	-72.3584180000000
696	-72.3688840000000
697	-72.3792390000000
698	-72.3894840000000
699	-72.3996200000000
700	-72.4096490000000
701	-72.4195730000000
702	-72.4293930000000
703	-72.4391120000000
704	-72.4487290000000
705	-72.4582480000000
706	-72.4676690000000
707	-72.4769950000000
708	-72.4862260000000
709	-72.4953630000000
710	-72.5044100000000
711	-72.5133650000000
712	-72.5222320000000
713	-72.5310110000000
714	-72.5397030000000
715	-72.5483110000000
716	-72.5568340000000
717	-72.5652750000000
718	-72.5736350000000
719	-72.5819150000000
720	-72.5901150000000
721	-72.5982380000000
722	-72.6062840000000
723	-72.6142550000000
724	-72.6221500000000
725	-72.6299730000000
